;;;;;;
"Causes de mortalité";;;;;;
;;;;;;
"par catégorie";;;;;;
"Distribution des décès en pourcent";;;;;;
;;;;;;
"Renseignements: +41 58 463 60 45, obsan@bfs.admin.ch";;;;;;
"";;;;;;
"Source: OFS – Statistique des causes de décès (CoD) et Statistique de la population et des ménages (STATPOP)";;;;;;
;;;;;;
;;;;;;
"URL:";"https://ind.obsan.admin.ch/fr/indicator/obsan/mortalite-et-causes-de-deces";;;;;
"Erstellt am:";"9/23/2025";;;;;
;;;;;;
"year";"sex";"sector";"var1";"lci1";"uci1";"var2"
1998;"Total";"Autres causes";19.8676660966;19.55501664;20.1803155533;12431
1998;"Hommes";"Autres causes";17.2875342687;16.8666059036;17.7084626337;5360
1998;"Femmes";"Autres causes";22.4021036624;21.9421172714;22.8620900534;7071
1998;"Total";"Accidents toutes formes";3.24441816235;3.10558705669;3.383249268;2030
1998;"Hommes";"Accidents toutes formes";3.82841477181;3.61482076604;4.04200877759;1187
1998;"Femmes";"Accidents toutes formes";2.6707641617;2.49288911195;2.84863921146;843
1998;"Total";"Suicide";2.19118093625;2.07646903337;2.30589283913;1371
1998;"Hommes";"Suicide";3.25431382035;3.05679808429;3.45182955641;1009
1998;"Femmes";"Suicide";1.14687618806;1.02940561845;1.26434675767;362
1998;"Total";"Maladies infectieuses (sans COVID-19)";1.11876488357;1.03634979869;1.20117996845;700
1998;"Hommes";"Maladies infectieuses (sans COVID-19)";1.28043863893;1.15528681719;1.40559046067;397
1998;"Femmes";"Maladies infectieuses (sans COVID-19)";0.959954378406;0.852380625369;1.06752813144;303
1998;"Total";"Autres tumeurs malignes";17.7260304624;17.42679206;18.0252688648;11091
1998;"Hommes";"Autres tumeurs malignes";20.7676181261;20.3160732877;21.2191629645;6439
1998;"Femmes";"Autres tumeurs malignes";14.7383094665;14.347219735;15.129399198;4652
1998;"Total";"Cancer bronche et poumon";4.27528009078;4.11676351061;4.43379667095;2675
1998;"Hommes";"Cancer bronche et poumon";6.49572649573;6.22138861647;6.77006437498;2014
1998;"Femmes";"Cancer bronche et poumon";2.09415790141;1.93618426192;2.25213154089;661
1998;"Total";"Cancer sein";2.16560916748;2.05155368416;2.2796646508;1355
1998;"Hommes";"Cancer sein";0.0387034349299;0.0168083377499;0.0605985321098;12
1998;"Femmes";"Cancer sein";4.25484729439;4.03216996973;4.47752461904;1343
1998;"Total";"Appareil circulatoire";40.6687017533;40.2837977429;41.0536057636;25446
1998;"Hommes";"Appareil circulatoire";37.4391227221;36.9003936302;37.9778518141;11608
1998;"Femmes";"Appareil circulatoire";43.8410847801;43.2936585427;44.3885110175;13838
1998;"Total";"Appareil respiratoire";7.28635586313;7.08269509808;7.49001662817;4559
1998;"Hommes";"Appareil respiratoire";7.72778584099;7.43053766955;8.02503401244;2396
1998;"Femmes";"Appareil respiratoire";6.85274363199;6.57400774722;7.13147951675;2163
1998;"Total";"Cirrhose du foie alcoolique";0.759161885279;0.691148754696;0.827175015861;475
1998;"Hommes";"Cirrhose du foie alcoolique";1.08692146428;0.971501184239;1.20234174432;337
1998;"Femmes";"Cirrhose du foie alcoolique";0.43720694462;0.364417623417;0.509996265824;138
1998;"Total";"Anomalies congénitales/causes de mortalité périnatales";0.696830698908;0.631649019132;0.762012378684;436
1998;"Hommes";"Anomalies congénitales/causes de mortalité périnatales";0.793420416062;0.694661092743;0.892179739381;246
1998;"Femmes";"Anomalies congénitales/causes de mortalité périnatales";0.601951590419;0.516613028578;0.687290152261;190
1999;"Total";"Autres causes";19.802249492;19.4898229648;20.1146760192;12377
1999;"Hommes";"Autres causes";17.1939161;16.7700179115;17.6178142885;5234
1999;"Femmes";"Autres causes";22.2787099994;21.823207279;22.7342127198;7143
1999;"Total";"Accidents toutes formes";3.21424571621;3.07596717144;3.35252426098;2009
1999;"Hommes";"Accidents toutes formes";3.76137446207;3.54763189177;3.97511703238;1145
1999;"Femmes";"Accidents toutes formes";2.69477886595;2.51752096872;2.87203676317;864
1999;"Total";"Suicide";2.07510039518;1.96334315509;2.18685763527;1297
1999;"Hommes";"Suicide";3.05509017444;2.86175202468;3.2484283242;930
1999;"Femmes";"Suicide";1.14465722662;1.02821412764;1.26110032561;367
1999;"Total";"Maladies infectieuses (sans COVID-19)";1.10074716414;1.01894781709;1.18254651118;688
1999;"Hommes";"Maladies infectieuses (sans COVID-19)";1.15962024901;1.03934725182;1.27989324619;353
1999;"Femmes";"Maladies infectieuses (sans COVID-19)";1.04485060196;0.933543659583;1.15615754433;335
1999;"Total";"Autres tumeurs malignes";17.8551429531;17.5548940712;18.1553918351;11160
1999;"Hommes";"Autres tumeurs malignes";21.3462107027;20.8858870857;21.8065343197;6498
1999;"Femmes";"Autres tumeurs malignes";14.5405776308;14.1547025256;14.9264527361;4662
1999;"Total";"Cancer bronche et poumon";4.2109978721;4.05354163097;4.36845411323;2632
1999;"Hommes";"Cancer bronche et poumon";6.27443250879;6.00199976695;6.54686525062;1910
1999;"Femmes";"Cancer bronche et poumon";2.251886969;2.08948045675;2.41429348125;722
1999;"Total";"Cancer sein";2.02870262227;1.91817567657;2.13922956798;1268
1999;"Hommes";"Cancer sein";0.0459906047765;0.0219038824633;0.0700773270896;14
1999;"Femmes";"Cancer sein";3.91117210405;3.69896209397;4.12338211413;1254
1999;"Total";"Appareil circulatoire";40.719645457;40.3344626141;41.1048282999;25451
