Consommation chronique de médicaments;;;;;;;
;;;;;;;
par classe d’âge;;;;;;;
Proportion de la population ayant consommé presque quotidiennement des analgésiques, des somnifères ou des tranquillisants au cours des 30 derniers jours;;;;;;;
;;;;;;;
Renseignements: +41 58 463 60 45, obsan@bfs.admin.ch;;;;;;;
;;;;;;;
Source: OFSP – Enquête « Santé et Lifestyle » (depuis 2018), Monitorage suisse des addictions – CoRolAR (2011–2016);;;;;;;
Les données sont représentées avec un intervalle de confiance de 95%. Les intervalles d’erreur illustrés contiennent avec une probabilité de 95% la valeur réelle dans la population.;;;;;;;
Rupture de la série chronologique entre 2016 et 2018: l’enquête « Santé et Lifestyle » a été réalisée en ligne, tandis que l’enquête CoRoIAR a été menée par téléphone. ;;;;;;;
Rupture de la série chronologique entre 2018 et 2022: à partir de 2022, les questions contiennent des exemples de somnifères et de tranquillisants, ce qui n'était pas le cas dans les enquêtes précédentes. Durant les années 2011 à 2016, la question sur les analgésiques précisait qu'elle ne portait pas sur les médicaments usuels contre les maux de tête comme l’Aspirine ou le paracétamol, sans toutefois mentionner d'autres exemples de médicaments. Il n'est pas possible de présenter de données sur la prise d’analgésique pour l’année 2018.;;;;;;;
n = taille de l'échantillon;;;;;;;
Les résultats comptant moins de 5 cas ne sont pas affichés.;;;;;;;
;;;;;;;
;;;;;;;
URL:;https://ind.obsan.admin.ch/fr/indicator/monam/consommation-chronique-de-medicaments-age-15;;;;;;
Erstellt am:;24.10.2025;;;;;;
;;;;;;;
year;sex;category;age;var1;lci1;uci1;var2
2011;Total;Analgésiques;15-34;0.710757945209;0.294929202356;1.12658668806;5099
2011;Hommes;Analgésiques;15-34;0.685518546932;0.0421805058636;1.328856588;2373
2011;Femmes;Analgésiques;15-34;0.736813290952;0.214162854045;1.25946372786;2726
2011;Total;Analgésiques;35-54;1.5849966651;0.994025822812;2.17596750739;2423
2011;Hommes;Analgésiques;35-54;1.11140341793;0.300862269331;1.92194456652;1059
2011;Femmes;Analgésiques;35-54;2.06506789445;1.2042842154;2.9258515735;1364
2011;Total;Analgésiques;55-69;2.48514283413;1.58478433677;3.38550133148;1959
2011;Hommes;Analgésiques;55-69;1.4911590936;0.576095304089;2.40622288311;803
2011;Femmes;Analgésiques;55-69;3.45051539534;1.92475227774;4.97627851294;1156
2011;Total;Analgésiques;70+;5.69091406409;4.40680673211;6.97502139607;1486
2011;Hommes;Analgésiques;70+;4.09981419605;2.32202844988;5.87759994222;577
2011;Femmes;Analgésiques;70+;6.78864894757;5.00273413677;8.57456375836;909
2011;Total;Somnifères ou tranquillisants;15-34;0.350825881381;0.058153186094;0.643498576669;5105
2011;Femmes;Somnifères ou tranquillisants;15-34;0.57823116504;0.0107051984647;1.14575713161;2728
2011;Total;Somnifères ou tranquillisants;35-54;2.6989471001;1.82827172951;3.56962247068;2429
2011;Hommes;Somnifères ou tranquillisants;35-54;2.73096616201;1.35565256905;4.10627975498;1061
2011;Femmes;Somnifères ou tranquillisants;35-54;2.66640120342;1.60442428997;3.72837811687;1368
2011;Total;Somnifères ou tranquillisants;55-69;4.81080276248;3.6810134233;5.94059210167;1964
2011;Hommes;Somnifères ou tranquillisants;55-69;3.06881898129;1.83297657828;4.3046613843;806
